,Hex,Opcode,Fetches,Operands,Op1,Op2,Op3
0,0,brk,1,0,-,-,-
1,01,srp,2,1,IM,-,-
2,02,add,2,2,rx,ry,-
3,03,add,2,2,rx,Iry,-
4,04,add,3,2,Ry,Rx,-
5,05,add,3,2,IRy,Rx,-
6,06,add,3,2,Rx,IM,-
7,07,add,3,2,IRx,IM,-
8,08,addx,4,2,ERy,ERx,-
9,09,addx,4,2,IM,ERx,-
10,0A,djnz,2,2,r0,X,-
11,0B,jr,2,2,cc,X,-
12,0C,ld,2,2,r0,IM,-
13,0D,jp,3,2,cc,DA,-
14,0E,inc,1,1,r0,-,-
15,0F,nop,1,0,-,-,-
16,10,rlc,2,1,Rx,-,-
17,11,rlc,2,1,IRx,-,-
18,12,adc,2,2,rx,ry,-
19,13,adc,2,2,rx,Iry,-
20,14,adc,3,2,Ry,Rx,-
21,15,adc,3,2,IRy,Rx,-
22,16,adc,3,2,Rx,IM,-
23,17,adc,3,2,IRx,IM,-
24,18,adcx,4,2,ERy,ERx,-
25,19,adcx,4,2,IM,ERx,-
26,1A,djnz,2,2,r1,X,-
27,1B,jr,2,2,cc,X,-
28,1C,ld,2,2,r1,IM,-
29,1D,jp,3,2,cc,DA,-
30,1E,inc,1,1,r1,-,-
31,1F,foo,1,0,-,-,-
32,20,inc,2,1,Rx,-,-
33,21,inc,2,1,IRx,-,-
34,22,sub,2,2,rx,ry,-
35,23,sub,2,2,rx,Iry,-
36,24,sub,3,2,Ry,Rx,-
37,25,sub,3,2,IRy,Rx,-
38,26,sub,3,2,Rx,IM,-
39,27,sub,3,2,IRx,IM,-
40,28,subx,4,2,ERy,ERx,-
41,29,subx,4,2,IM,ERx,-
42,2A,djnz,2,2,r2,X,-
43,2B,jr,2,2,cc,X,-
44,2C,ld,2,2,r2,IM,-
45,2D,jp,3,2,cc,DA,-
46,2E,inc,1,1,r2,-,-
47,2F,atm,1,0,-,-,-
48,30,dec,2,1,Rx,-,-
49,31,dec,2,1,IRx,-,-
50,32,sbc,2,2,rx,ry,-
51,33,sbc,2,2,rx,Iry,-
52,34,sbc,3,2,Ry,Rx,-
53,35,sbc,3,2,IRy,Rx,-
54,36,sbc,3,2,Rx,IM,-
55,37,sbc,3,2,IRx,IM,-
56,38,sbcx,4,2,ERy,ERx,-
57,39,sbcx,4,2,IM,ERx,-
58,3A,djnz,2,2,r3,X,-
59,3B,jr,2,2,cc,X,-
60,3C,ld,2,2,r3,IM,-
61,3D,jp,3,2,cc,DA,-
62,3E,inc,1,1,r3,-,-
63,3F,foo,1,0,-,-,-
64,40,da,2,1,Rx,-,-
65,41,da,2,1,IRx,-,-
66,42,or,2,2,rx,ry,-
67,43,or,2,2,rx,Iry,-
